,date,btc_price,btc_volume_24hr,btc_supply,btc_weekly_spread,us_real_interest_rate_percent,us_gdp_usd,us_inflation_rate_percent
0,2020-01-05,7207.485803016195,22262113793.742474,18145662.89104716,387.5236991831416,0.50509631,22020000000000.0,2.49
1,2020-01-12,7900.463817360569,31632911166.37351,18122701.400205005,830.5409217531769,0.50509631,22020000000000.0,2.49
2,2020-01-19,8633.59452010132,39139431152.85603,18154673.98359019,796.2547106473021,0.50509631,22020000000000.0,2.49
3,2020-01-26,8558.372632730148,29918023446.53016,18175999.57142857,376.1529578521495,0.50509631,22020000000000.0,2.49
4,2020-02-02,9179.121878586171,45205339300.798454,18189114.142857146,914.0768370821042,0.31598579,22120000000000.0,2.33
5,2020-02-09,9550.608454483512,63586085096.69991,18202049.852597784,710.7423771177546,0.31598579,22120000000000.0,2.33
6,2020-02-16,10147.125407386895,57103294539.730965,18210317.526330058,438.7763418164468,0.31598579,22120000000000.0,2.33
7,2020-02-23,9765.613190609229,45692271501.516235,18222251.396142278,525.6482358022186,0.31598579,22120000000000.0,2.33
8,2020-03-01,9116.596084755141,40412738142.384476,18235552.368344516,1393.7270048858863,-0.12783745,20980000000000.0,1.54
9,2020-03-08,8866.565894607202,45361571622.12504,18247180.566298913,568.042817353984,-0.12783745,20980000000000.0,1.54
10,2020-03-15,6814.99288963416,46396569649.224594,18244811.221571263,2898.3750790535187,-0.12783745,20980000000000.0,1.54
11,2020-03-22,5672.52946122202,41403924561.40356,18260516.79091246,1163.102153769908,-0.12783745,20980000000000.0,1.54
12,2020-03-29,6451.494017568695,39106619293.06948,18281477.8524424,905.9146486305217,-0.12783745,20980000000000.0,1.54
13,2020-04-05,6540.165061508988,35931520778.9676,18302953.54166851,944.0877689300405,-0.11159442,18940000000000.0,0.33
14,2020-04-12,7094.674568457628,37513424890.80958,18311115.45172545,554.2433285421066,-0.11159442,18940000000000.0,0.33
15,2020-04-19,6942.572322421962,34803740996.83136,18327026.42857143,613.0791914616912,-0.11159442,18940000000000.0,0.33
