Date,Value
2023-11-30,27.78T
2023-10-31,27.74T
2023-09-30,27.83T
2023-08-31,27.62T
2023-07-31,27.39T
2023-06-30,27.19T
2023-05-31,27.07T
2023-04-30,26.92T
2023-03-31,26.88T
2023-02-28,26.83T
2023-01-31,26.73T
2022-12-31,26.48T
2022-11-30,26.46T
2022-10-31,26.29T
2022-09-30,26.10T
2022-08-31,26.13T
2022-07-31,25.75T
2022-06-30,25.79T
2022-05-31,25.55T
2022-04-30,25.29T
2022-03-31,25.21T
2022-02-28,25.01T
2022-01-31,24.86T
2021-12-31,24.93T
2021-11-30,24.58T
2021-10-31,24.45T
2021-09-30,24.01T
2021-08-31,23.82T
2021-07-31,23.66T
2021-06-30,23.47T
2021-05-31,23.29T
2021-04-30,23.12T
2021-03-31,22.93T
2021-02-28,22.34T
2021-01-31,22.53T
2020-12-31,22.13T
2020-11-30,21.90T
2020-10-31,22.05T
2020-09-30,21.91T
2020-08-31,21.63T
2020-07-31,21.40T
2020-06-30,20.98T
2020-05-31,19.82T
2020-04-30,18.94T
2020-03-31,20.98T
2020-02-29,22.12T
2020-01-31,22.02T
2019-12-31,21.99T
2019-11-30,21.94T
2019-10-31,21.77T
